OBEC,OKRES,KRAJ
Abertamy,"Karlovy Vary","Karlovarský kraj"
Adamov,Blansko,"Jihomoravský kraj"
Adamov,"České Budějovice","Jihočeský kraj"
Adamov,"Kutná Hora","Středočeský kraj"
Adršpach,Náchod,"Královéhradecký kraj"
Albrechtice,Karviná,"Moravskoslezský kraj"
"Albrechtice nad Orlicí","Rychnov nad Kněžnou","Královéhradecký kraj"
"Albrechtice nad Vltavou",Písek,"Jihočeský kraj"
Albrechtice,"Ústí nad Orlicí","Pardubický kraj"
"Albrechtice v Jizerských horách","Jablonec nad Nisou","Liberecký kraj"
Albrechtičky,"Nový Jičín","Moravskoslezský kraj"
Alojzov,Prostějov,"Olomoucký kraj"
"Andělská Hora",Bruntál,"Moravskoslezský kraj"
"Andělská Hora","Karlovy Vary","Karlovarský kraj"
"Anenská Studánka","Ústí nad Orlicí","Pardubický kraj"
Archlebov,Hodonín,"Jihomoravský kraj"
Arneštovice,Pelhřimov,Vysočina
Arnolec,Jihlava,Vysočina
Arnoltice,Děčín,"Ústecký kraj"
Aš,Cheb,"Karlovarský kraj"
Babice,"Hradec Králové","Královéhradecký kraj"
"Babice nad Svitavou",Brno-venkov,"Jihomoravský kraj"
Babice,Olomouc,"Olomoucký kraj"
Babice,Prachatice,"Jihočeský kraj"
Babice,Praha-východ,"Středočeský kraj"
Babice,Třebíč,Vysočina
Babice,"Uherské Hradiště","Zlínský kraj"
"Babice u Rosic",Brno-venkov,"Jihomoravský kraj"
Babylon,Domažlice,"Plzeňský kraj"
Bačalky,Jičín,"Královéhradecký kraj"
Bačetín,"Rychnov nad Kněžnou","Královéhradecký kraj"
Bačice,Třebíč,Vysočina
Bačkov,"Havlíčkův Brod",Vysočina
Bačkovice,Třebíč,Vysočina
Bácovice,Pelhřimov,Vysočina
"Bakov nad Jizerou","Mladá Boleslav","Středočeský kraj"
Baliny,"Žďár nad Sázavou",Vysočina
"Balkova Lhota",Tábor,"Jihočeský kraj"
Banín,Svitavy,"Pardubický kraj"
